t [s],Red [bit],IR [bit]
68.712,50448,54245
68.72,50455,54259
68.728,50462,54272
68.736,50469,54285
68.744,50476,54299
68.752,50483,54312
68.76,50490,54326
68.768,50496,54339
68.776,50502,54352
68.784,50508,54364
68.792,50513,54375
68.8,50518,54384
68.808,50523,54394
68.816,50528,54403
68.824,50533,54414
68.832,50539,54424
68.84,50544,54436
68.848,50549,54448
68.856,50555,54460
68.864,50560,54472
68.872,50566,54483
68.88,50572,54494
68.888,50577,54504
68.896,50583,54515
68.904,50587,54526
68.912,50591,54539
68.92,50594,54552
68.928,50596,54565
68.936,50600,54577
68.944,50605,54588
68.952,50611,54597
68.96,50617,54606
68.968,50624,54615
68.976,50630,54625
68.984,50635,54636
68.992,50640,54647
69,50644,54659
69.008,50649,54671
69.016,50654,54683
69.024,50659,54694
69.032,50664,54705
69.04,50670,54717
69.048,50675,54729
69.056,50680,54741
69.064,50685,54755
69.072,50689,54769
69.08,50694,54784
69.088,50700,54798
69.096,50706,54811
69.104,50712,54823
69.112,50719,54831
69.12,50723,54835
69.128,50724,54831
69.136,50720,54816
69.144,50711,54787
69.152,50694,54743
69.16,50671,54685
69.168,50643,54615
69.176,50611,54537
69.184,50577,54457
69.192,50545,54380
69.2,50514,54309
69.208,50487,54249
69.216,50465,54199
69.224,50447,54160
69.232,50433,54130
69.24,50423,54105
69.248,50414,54085
69.256,50408,54067
69.264,50402,54052
69.272,50398,54038
69.28,50394,54027
69.288,50391,54017
69.296,50388,54009
69.304,50384,54002
69.312,50381,53996
69.32,50379,53990
69.328,50377,53986
69.336,50375,53984
69.344,50375,53984
69.352,50376,53988
69.36,50379,53995
69.368,50382,54004
69.376,50387,54015
69.384,50391,54027
69.392,50396,54036
69.4,50400,54045
69.408,50403,54050
69.416,50405,54054
69.424,50406,54055
69.432,50406,54054
69.44,50405,54052
69.448,50403,54048
69.456,50401,54043
69.464,50399,54039
69.472,50397,54035
69.48,50396,54033
69.488,50395,54032
69.496,50395,54033
69.504,50396,54035
69.512,50398,54038
69.52,50402,54042
69.528,50406,54048
69.536,50411,54056
69.544,50417,54067
69.552,50422,54081
69.56,50428,54097
69.568,50434,54114
69.576,50441,54131
69.584,50448,54148
69.592,50456,54164
69.6,50464,54180
69.608,50472,54197
69.616,50481,54213
69.624,50489,54231
69.632,50497,54248
69.64,50506,54266
69.648,50514,54284
69.656,50522,54300
69.664,50530,54315
69.672,50538,54329
69.68,50546,54343
69.688,50554,54358
69.696,50561,54373
69.704,50568,54390
69.712,50575,54407
69.72,50582,54424
69.728,50589,54439
69.736,50595,54453
69.744,50601,54466
69.752,50607,54479
69.76,50613,54491
69.768,50619,54504
69.776,50625,54517
69.784,50631,54531
69.792,50637,54544
69.8,50643,54558
69.808,50650,54571
69.816,50656,54583
69.824,50662,54596
69.832,50668,54608
69.84,50673,54620
69.848,50678,54633
69.856,50683,54646
69.864,50689,54659
69.872,50695,54673
69.88,50701,54686
69.888,50707,54700
69.896,50713,54714
69.904,50719,54727
69.912,50725,54741
69.92,50731,54755
69.928,50737,54769
69.936,50744,54783
69.944,50750,54797
69.952,50756,54810
69.96,50762,54823
69.968,50768,54836
69.976,50774,54849
69.984,50779,54862
69.992,50785,54875
70,50791,54888
70.008,50796,54901
70.016,50802,54914
70.024,50807,54926
70.032,50813,54938
70.04,50818,54950
70.048,50824,54962
70.056,50829,54974
70.064,50834,54984
70.072,50838,54991
70.08,50839,54990
70.088,50836,54979
70.096,50827,54953
70.104,50811,54911
70.112,50789,54853
70.12,50760,54781
70.128,50727,54700
70.136,50691,54614
70.144,50654,54529
70.152,50618,54448
70.16,50585,54375
70.168,50555,54313
70.176,50530,54260
70.184,50509,54216
70.192,50492,54181
70.2,50478,54152
70.208,50468,54128
70.216,50459,54109
70.224,50452,54092
70.232,50446,54077
70.24,50440,54064
70.248,50435,54052
70.256,50430,54040
70.264,50425,54028
70.272,50420,54015
70.28,50414,54003
70.288,50410,53992
70.296,50406,53982
70.304,50403,53975
70.312,50401,53972
70.32,50401,53973
70.328,50403,53977
70.336,50406,53985
70.344,50411,53996
70.352,50416,54007
70.36,50421,54019
70.368,50426,54030
70.376,50431,54038
70.384,50435,54045
70.392,50437,54049
70.4,50439,54050
70.408,50439,54049
70.416,50438,54047
70.424,50436,54043
70.432,50434,54040
70.44,50432,54036
70.448,50431,54033
70.456,50430,54031
70.464,50429,54031
70.472,50429,54032
70.48,50430,54034
70.488,50432,54038
70.496,50434,54044
70.504,50437,54051
70.512,50441,54060
70.52,50445,54070
70.528,50449,54081
70.536,50455,54093
70.544,50460,54105
70.552,50465,54118
70.56,50471,54131
70.568,50477,54145
70.576,50483,54159
70.584,50489,54174
70.592,50497,54189
70.6,50504,54205
70.608,50512,54222
70.616,50520,54238
70.624,50528,54255
70.632,50536,54271
70.64,50543,54286
70.648,50550,54302
70.656,50557,54317
70.664,50564,54331
70.672,50571,54346
70.68,50577,54361
70.688,50584,54376
70.696,50591,54390
70.704,50597,54405
70.712,50604,54419
70.72,50610,54433
70.728,50617,54447
70.736,50623,54461
70.744,50629,54474
70.752,50635,54487
70.76,50641,54501
70.768,50647,54514
70.776,50653,54527
70.784,50659,54539
70.792,50665,54553
70.8,50671,54566
70.808,50677,54579
70.816,50683,54592
70.824,50689,54606
70.832,50695,54620
70.84,50701,54634
70.848,50708,54649
70.856,50714,54664
70.864,50721,54680
70.872,50728,54697
70.88,50735,54713
70.888,50742,54729
70.896,50748,54746
70.904,50755,54762
70.912,50762,54778
70.92,50769,54794
70.928,50776,54809
70.936,50783,54825
70.944,50790,54841
70.952,50797,54857
70.96,50804,54873
70.968,50810,54889
70.976,50817,54904
70.984,50824,54919
70.992,50830,54934
71,50836,54947
71.008,50842,54961
71.016,50848,54975
71.024,50854,54989
71.032,50860,55003
71.04,50865,55015
71.048,50869,55022
71.056,50871,55021
71.064,50867,55009
71.072,50858,54982
71.08,50842,54939
71.088,50819,54880
71.096,50790,54808
71.104,50756,54727
71.112,50719,54641
71.12,50682,54556
71.128,50647,54477
71.136,50614,54406
71.144,50586,54346
71.152,50562,54297
71.16,50543,54258
71.168,50528,54228
71.176,50517,54206
71.184,50509,54190
71.192,50503,54179
71.2,50500,54171
71.208,50497,54165
71.216,50496,54161
71.224,50495,54158
71.232,50493,54154
71.24,50492,54151
71.248,50491,54148
71.256,50490,54145
71.264,50489,54143
71.272,50489,54144
71.28,50490,54147
71.288,50492,54153
71.296,50496,54162
71.304,50501,54173
71.312,50506,54187
71.32,50513,54201
71.328,50519,54215
71.336,50526,54228
71.344,50531,54240
71.352,50536,54249
71.36,50539,54255
71.368,50542,54259
71.376,50542,54261
71.384,50542,54261
71.392,50541,54258
71.4,50540,54255
71.408,50538,54252
71.416,50537,54249
71.424,50536,54247
71.432,50536,54247
71.44,50536,54248
71.448,50538,54252
71.456,50540,54258
71.464,50543,54265
71.472,50547,54274
71.48,50551,54284
71.488,50556,54296
71.496,50562,54308
71.504,50568,54321
71.512,50574,54335
71.52,50581,54349
71.528,50587,54363
71.536,50594,54377
71.544,50600,54392
71.552,50607,54406
71.56,50613,54421
71.568,50620,54436
71.576,50627,54451
71.584,50634,54467
71.592,50641,54482
71.6,50648,54497
71.608,50654,54512
71.616,50661,54528
71.624,50667,54543
71.632,50674,54558
71.64,50680,54574
71.648,50687,54588
71.656,50693,54603
71.664,50700,54618
71.672,50706,54632
71.68,50713,54646
71.688,50719,54661
71.696,50725,54676
71.704,50731,54690
71.712,50737,54704
71.72,50743,54718
71.728,50749,54732
71.736,50755,54746
71.744,50761,54759
71.752,50767,54772
71.76,50772,54785
71.768,50778,54798
71.776,50783,54811
71.784,50788,54823
71.792,50794,54836
71.8,50799,54849
71.808,50805,54862
71.816,50810,54875
71.824,50816,54888
71.832,50822,54902
71.84,50828,54916
71.848,50834,54929
71.856,50840,54943
71.864,50846,54957
71.872,50852,54972
71.88,50858,54986
71.888,50864,55001
71.896,50871,55017
71.904,50878,55032
71.912,50884,55047
71.92,50891,55062
71.928,50897,55076
71.936,50903,55091
71.944,50909,55105
71.952,50916,55120
71.96,50922,55135
71.968,50928,55151
71.976,50935,55165
71.984,50940,55176
71.992,50942,55179
72,50940,55170
72.008,50932,55146
72.016,50917,55106
72.024,50895,55049
72.032,50866,54978
72.04,50833,54898
72.048,50796,54811
72.056,50759,54725
72.064,50722,54643
72.072,50689,54570
72.08,50660,54507
72.088,50636,54456
72.096,50617,54416
72.104,50602,54387
72.112,50592,54366
72.12,50584,54352
72.128,50580,54343
72.136,50577,54339
72.144,50577,54337
72.152,50577,54338
72.16,50578,54339
72.168,50579,54341
72.176,50581,54344
72.184,50582,54347
72.192,50584,54351
72.2,50585,54356
72.208,50588,54362
72.216,50591,54370
72.224,50596,54381
72.232,50601,54393
72.24,50608,54407
72.248,50615,54423
72.256,50622,54439
72.264,50630,54454
72.272,50636,54468
72.28,50642,54480
72.288,50646,54489
72.296,50649,54495
72.304,50651,54498
72.312,50651,54498
72.32,50650,54497
72.328,50649,54494
72.336,50647,54491
72.344,50646,54488
72.352,50644,54486
72.36,50644,54485
72.368,50644,54486
72.376,50645,54489
72.384,50647,54494
72.392,50650,54500
72.4,50654,54509
72.408,50658,54519
72.416,50663,54531
72.424,50669,54544
72.432,50675,54558
72.44,50681,54572
72.448,50688,54588
72.456,50695,54604
72.464,50703,54621
72.472,50710,54638
72.48,50718,54655
72.488,50725,54673
72.496,50733,54690
72.504,50740,54707
72.512,50747,54724
72.52,50755,54740
72.528,50762,54756
72.536,50769,54771
72.544,50776,54787
72.552,50783,54802
72.56,50790,54817
72.568,50796,54832
72.576,50802,54846
72.584,50808,54861
72.592,50814,54875
72.6,50820,54888
72.608,50826,54902
72.616,50832,54916
72.624,50838,54929
72.632,50844,54942
72.64,50849,54955
72.648,50855,54968
72.656,50860,54981
72.664,50865,54993
72.672,50871,55006
72.68,50876,55019
72.688,50882,55032
72.696,50888,55046
72.704,50893,55059
72.712,50899,55073
72.72,50905,55086
72.728,50911,55100
72.736,50917,55114
72.744,50923,55128
72.752,50929,55141
72.76,50935,55155
72.768,50940,55169
72.776,50946,55183
72.784,50952,55197
72.792,50958,55211
72.8,50965,55226
72.808,50971,55240
72.816,50977,55255
72.824,50983,55269
72.832,50989,55283
72.84,50995,55297
72.848,51000,55311
72.856,51006,55324
72.864,51011,55338
72.872,51017,55353
72.88,51024,55368
72.888,51030,55382
72.896,51035,55392
72.904,51038,55394
72.912,51036,55383
72.92,51027,55357
72.928,51011,55313
72.936,50987,55251
72.944,50956,55174
72.952,50919,55087
72.96,50880,54995
72.968,50840,54902
72.976,50801,54814
72.984,50765,54735
72.992,50734,54667
73,50708,54611
73.008,50687,54567
73.016,50670,54533
73.024,50658,54509
73.032,50650,54493
73.04,50645,54482
73.048,50641,54476
73.056,50640,54472
73.064,50639,54470
73.072,50639,54469
73.08,50640,54469
73.088,50640,54469
73.096,50640,54470
73.104,50640,54470
73.112,50641,54472
73.12,50642,54475
73.128,50644,54480
73.136,50647,54487
73.144,50651,54497
73.152,50656,54509
73.16,50661,54522
73.168,50668,54537
73.176,50675,54552
73.184,50682,54567
73.192,50688,54581
73.2,50694,54593
73.208,50699,54603
73.216,50703,54611
73.224,50705,54616
73.232,50707,54619
73.24,50707,54620
73.248,50707,54619
73.256,50707,54618
73.264,50706,54617
73.272,50705,54617
73.28,50705,54617
73.288,50705,54619
73.296,50706,54622
73.304,50708,54627
73.312,50711,54634
73.32,50715,54642
73.328,50720,54653
73.336,50725,54664
73.344,50731,54678
73.352,50737,54692
73.36,50743,54707
73.368,50750,54723
73.376,50757,54739
73.384,50764,54756
73.392,50772,54772
73.4,50779,54789
73.408,50787,54806
73.416,50794,54823
73.424,50802,54841
73.432,50809,54858
73.44,50817,54874
73.448,50824,54891
73.456,50831,54907
73.464,50837,54922
73.472,50844,54938
73.48,50851,54952
73.488,50857,54967
73.496,50864,54982
73.504,50870,54996
73.512,50877,55011
73.52,50883,55026
73.528,50889,55040
73.536,50895,55054
73.544,50901,55068
73.552,50907,55081
73.56,50913,55094
73.568,50919,55108
73.576,50924,55121
73.584,50930,55134
73.592,50935,55148
73.6,50941,55161
73.608,50946,55175
73.616,50952,55188
73.624,50958,55201
73.632,50964,55214
73.64,50970,55228
73.648,50975,55241
73.656,50981,55254
73.664,50987,55268
73.672,50993,55281
73.68,50999,55295
73.688,51004,55309
73.696,51010,55323
73.704,51016,55337
73.712,51022,55352
73.72,51028,55366
73.728,51034,55381
73.736,51040,55395
73.744,51046,55408
73.752,51052,55421
73.76,51057,55435
73.768,51063,55448
73.776,51068,55463
73.784,51075,55478
73.792,51081,55491
73.8,51085,55500
73.808,51087,55500
73.816,51084,55487
73.824,51073,55457
73.832,51056,55408
73.84,51030,55342
73.848,50997,55261
73.856,50960,55171
73.864,50919,55077
73.872,50879,54985
73.88,50840,54900
73.888,50806,54824
73.896,50776,54760
73.904,50751,54709
73.912,50733,54670
